time,tollgate_id,direction,time_window,date,hour,volume,weekday,media_volume,desvio_padrao
2016-10-18 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-18,6,13,2,11.285714285714286,3.9036002917941333
2016-10-18 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-18,6,37,2,36.0,8.205689083394114
2016-10-18 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-18,6,24,2,20.571428571428573,6.6296591882525115
2016-10-18 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-18,6,30,2,28.428571428571427,8.223080178318074
2016-10-18 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-18,6,23,2,18.857142857142858,4.980915960897534
2016-10-18 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-18,6,17,2,14.428571428571429,4.429339411136566
2016-10-18 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-18,6,47,2,40.57142857142857,11.296860077873305
2016-10-18 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-18,6,36,2,28.571428571428573,11.816050423853463
2016-10-18 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-18,6,42,2,44.42857142857143,9.58918041087876
2016-10-18 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-18,6,29,2,30.0,11.313708498984761
2016-10-18 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-18,6,21,2,19.428571428571427,5.50324579550235
2016-10-18 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-18,6,72,2,55.142857142857146,11.509830167130637
2016-10-18 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-18,6,46,2,42.0,8.563488385776752
2016-10-18 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-18,6,85,2,71.14285714285714,20.73988565886652
2016-10-18 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-18,6,50,2,41.42857142857143,11.414276774536104
2016-10-18 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-18,7,31,2,24.714285714285715,8.035634920242991
2016-10-18 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-18,7,68,2,63.0,11.532562594670797
2016-10-18 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-18,7,83,2,67.0,30.0
2016-10-18 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-18,7,114,2,105.71428571428571,32.29403601138702
2016-10-18 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-18,7,56,2,51.285714285714285,13.060299712159312
2016-10-18 07:20:00,1,0,"[07:20:00,07:40:00)",2016-10-18,7,28,2,32.142857142857146,6.148944934663492
2016-10-18 07:20:00,1,1,"[07:20:00,07:40:00)",2016-10-18,7,94,2,83.28571428571429,29.170271886027425
2016-10-18 07:20:00,2,0,"[07:20:00,07:40:00)",2016-10-18,7,87,2,77.57142857142857,26.67618877611732
2016-10-18 07:20:00,3,0,"[07:20:00,07:40:00)",2016-10-18,7,131,2,119.14285714285714,28.239620933649064
2016-10-18 07:20:00,3,1,"[07:20:00,07:40:00)",2016-10-18,7,77,2,67.0,19.924858845171276
2016-10-18 07:40:00,1,0,"[07:40:00,08:00:00)",2016-10-18,7,47,2,38.57142857142857,5.6820519432432395
2016-10-18 07:40:00,1,1,"[07:40:00,08:00:00)",2016-10-18,7,105,2,96.0,21.29162589689508
2016-10-18 07:40:00,2,0,"[07:40:00,08:00:00)",2016-10-18,7,97,2,88.28571428571429,29.471535904520287
2016-10-18 07:40:00,3,0,"[07:40:00,08:00:00)",2016-10-18,7,164,2,129.28571428571428,42.71500238290323
2016-10-18 07:40:00,3,1,"[07:40:00,08:00:00)",2016-10-18,7,91,2,85.28571428571429,20.00595149544493
2016-10-18 15:00:00,1,0,"[15:00:00,15:20:00)",2016-10-18,15,52,2,46.714285714285715,8.440266301373152
2016-10-18 15:00:00,1,1,"[15:00:00,15:20:00)",2016-10-18,15,72,2,92.57142857142857,14.081396034687552
2016-10-18 15:00:00,2,0,"[15:00:00,15:20:00)",2016-10-18,15,74,2,75.57142857142857,8.423323628614833
2016-10-18 15:00:00,3,0,"[15:00:00,15:20:00)",2016-10-18,15,116,2,115.85714285714286,16.014874038723832
2016-10-18 15:00:00,3,1,"[15:00:00,15:20:00)",2016-10-18,15,81,2,97.57142857142857,22.31484664864137
2016-10-18 15:20:00,1,0,"[15:20:00,15:40:00)",2016-10-18,15,38,2,45.857142857142854,10.040394604273471
2016-10-18 15:20:00,1,1,"[15:20:00,15:40:00)",2016-10-18,15,102,2,103.14285714285714,14.076322571710877
2016-10-18 15:20:00,2,0,"[15:20:00,15:40:00)",2016-10-18,15,78,2,76.42857142857143,4.466808810815722
2016-10-18 15:20:00,3,0,"[15:20:00,15:40:00)",2016-10-18,15,87,2,110.14285714285714,26.598424586358316
2016-10-18 15:20:00,3,1,"[15:20:00,15:40:00)",2016-10-18,15,91,2,100.71428571428571,11.426785574754984
2016-10-18 15:40:00,1,0,"[15:40:00,16:00:00)",2016-10-18,15,35,2,45.857142857142854,12.212405870378577
2016-10-18 15:40:00,1,1,"[15:40:00,16:00:00)",2016-10-18,15,116,2,109.85714285714286,13.606721028332181
2016-10-18 15:40:00,2,0,"[15:40:00,16:00:00)",2016-10-18,15,53,2,68.42857142857143,12.895181824453436
2016-10-18 15:40:00,3,0,"[15:40:00,16:00:00)",2016-10-18,15,106,2,116.85714285714286,21.19299075503165
2016-10-18 15:40:00,3,1,"[15:40:00,16:00:00)",2016-10-18,15,83,2,84.14285714285714,10.270160197201912
2016-10-18 16:00:00,1,0,"[16:00:00,16:20:00)",2016-10-18,16,57,2,51.0,7.852812659593163
2016-10-18 16:00:00,1,1,"[16:00:00,16:20:00)",2016-10-18,16,102,2,99.0,9.72967967955095
2016-10-18 16:00:00,2,0,"[16:00:00,16:20:00)",2016-10-18,16,62,2,67.57142857142857,9.536895771286428
2016-10-18 16:00:00,3,0,"[16:00:00,16:20:00)",2016-10-18,16,109,2,120.85714285714286,15.89998502544967
2016-10-18 16:00:00,3,1,"[16:00:00,16:20:00)",2016-10-18,16,84,2,89.42857142857143,8.243323416704026
2016-10-18 16:20:00,1,0,"[16:20:00,16:40:00)",2016-10-18,16,45,2,50.0,10.376254944182254
2016-10-18 16:20:00,1,1,"[16:20:00,16:40:00)",2016-10-18,16,84,2,95.28571428571429,15.892495983055289
2016-10-18 16:20:00,2,0,"[16:20:00,16:40:00)",2016-10-18,16,63,2,71.71428571428571,12.147898113312795
2016-10-18 16:20:00,3,0,"[16:20:00,16:40:00)",2016-10-18,16,117,2,115.0,17.339742404853272
2016-10-18 16:20:00,3,1,"[16:20:00,16:40:00)",2016-10-18,16,92,2,85.71428571428571,7.54352450150206
2016-10-18 16:40:00,1,0,"[16:40:00,17:00:00)",2016-10-18,16,53,2,50.57142857142857,12.190941211368695
2016-10-18 16:40:00,1,1,"[16:40:00,17:00:00)",2016-10-18,16,113,2,102.28571428571429,14.795430439996057
2016-10-18 16:40:00,2,0,"[16:40:00,17:00:00)",2016-10-18,16,83,2,72.85714285714286,8.355209381548963
2016-10-18 16:40:00,3,0,"[16:40:00,17:00:00)",2016-10-18,16,118,2,125.42857142857143,24.636403571795558
2016-10-18 16:40:00,3,1,"[16:40:00,17:00:00)",2016-10-18,16,83,2,88.85714285714286,11.186726828829652
2016-10-19 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-19,6,12,3,11.285714285714286,3.9036002917941333
2016-10-19 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-19,6,48,3,36.0,8.205689083394114
2016-10-19 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-19,6,26,3,20.571428571428573,6.6296591882525115
2016-10-19 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-19,6,24,3,28.428571428571427,8.223080178318074
2016-10-19 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-19,6,21,3,18.857142857142858,4.980915960897534
2016-10-19 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-19,6,16,3,14.428571428571429,4.429339411136566
2016-10-19 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-19,6,28,3,40.57142857142857,11.296860077873305
2016-10-19 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-19,6,45,3,28.571428571428573,11.816050423853463
2016-10-19 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-19,6,57,3,44.42857142857143,9.58918041087876
2016-10-19 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-19,6,26,3,30.0,11.313708498984761
2016-10-19 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-19,6,17,3,19.428571428571427,5.50324579550235
2016-10-19 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-19,6,57,3,55.142857142857146,11.509830167130637
2016-10-19 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-19,6,47,3,42.0,8.563488385776752
2016-10-19 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-19,6,75,3,71.14285714285714,20.73988565886652
2016-10-19 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-19,6,43,3,41.42857142857143,11.414276774536104
2016-10-19 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-19,7,22,3,24.714285714285715,8.035634920242991
2016-10-19 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-19,7,67,3,63.0,11.532562594670797
2016-10-19 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-19,7,87,3,67.0,30.0
2016-10-19 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-19,7,119,3,105.71428571428571,32.29403601138702
2016-10-19 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-19,7,53,3,51.285714285714285,13.060299712159312
2016-10-19 07:20:00,1,0,"[07:20:00,07:40:00)",2016-10-19,7,38,3,32.142857142857146,6.148944934663492
2016-10-19 07:20:00,1,1,"[07:20:00,07:40:00)",2016-10-19,7,98,3,83.28571428571429,29.170271886027425
2016-10-19 07:20:00,2,0,"[07:20:00,07:40:00)",2016-10-19,7,95,3,77.57142857142857,26.67618877611732
2016-10-19 07:20:00,3,0,"[07:20:00,07:40:00)",2016-10-19,7,137,3,119.14285714285714,28.239620933649064
2016-10-19 07:20:00,3,1,"[07:20:00,07:40:00)",2016-10-19,7,63,3,67.0,19.924858845171276
2016-10-19 07:40:00,1,0,"[07:40:00,08:00:00)",2016-10-19,7,41,3,38.57142857142857,5.6820519432432395
2016-10-19 07:40:00,1,1,"[07:40:00,08:00:00)",2016-10-19,7,103,3,96.0,21.29162589689508
2016-10-19 07:40:00,2,0,"[07:40:00,08:00:00)",2016-10-19,7,99,3,88.28571428571429,29.471535904520287
2016-10-19 07:40:00,3,0,"[07:40:00,08:00:00)",2016-10-19,7,152,3,129.28571428571428,42.71500238290323
2016-10-19 07:40:00,3,1,"[07:40:00,08:00:00)",2016-10-19,7,104,3,85.28571428571429,20.00595149544493
2016-10-19 15:00:00,1,0,"[15:00:00,15:20:00)",2016-10-19,15,40,3,46.714285714285715,8.440266301373152
2016-10-19 15:00:00,1,1,"[15:00:00,15:20:00)",2016-10-19,15,83,3,92.57142857142857,14.081396034687552
2016-10-19 15:00:00,2,0,"[15:00:00,15:20:00)",2016-10-19,15,70,3,75.57142857142857,8.423323628614833
2016-10-19 15:00:00,3,0,"[15:00:00,15:20:00)",2016-10-19,15,107,3,115.85714285714286,16.014874038723832
2016-10-19 15:00:00,3,1,"[15:00:00,15:20:00)",2016-10-19,15,99,3,97.57142857142857,22.31484664864137
2016-10-19 15:20:00,1,0,"[15:20:00,15:40:00)",2016-10-19,15,34,3,45.857142857142854,10.040394604273471
2016-10-19 15:20:00,1,1,"[15:20:00,15:40:00)",2016-10-19,15,99,3,103.14285714285714,14.076322571710877
2016-10-19 15:20:00,2,0,"[15:20:00,15:40:00)",2016-10-19,15,69,3,76.42857142857143,4.466808810815722
2016-10-19 15:20:00,3,0,"[15:20:00,15:40:00)",2016-10-19,15,96,3,110.14285714285714,26.598424586358316
2016-10-19 15:20:00,3,1,"[15:20:00,15:40:00)",2016-10-19,15,108,3,100.71428571428571,11.426785574754984
2016-10-19 15:40:00,1,0,"[15:40:00,16:00:00)",2016-10-19,15,50,3,45.857142857142854,12.212405870378577
2016-10-19 15:40:00,1,1,"[15:40:00,16:00:00)",2016-10-19,15,92,3,109.85714285714286,13.606721028332181
2016-10-19 15:40:00,2,0,"[15:40:00,16:00:00)",2016-10-19,15,58,3,68.42857142857143,12.895181824453436
2016-10-19 15:40:00,3,0,"[15:40:00,16:00:00)",2016-10-19,15,95,3,116.85714285714286,21.19299075503165
2016-10-19 15:40:00,3,1,"[15:40:00,16:00:00)",2016-10-19,15,79,3,84.14285714285714,10.270160197201912
2016-10-19 16:00:00,1,0,"[16:00:00,16:20:00)",2016-10-19,16,39,3,51.0,7.852812659593163
2016-10-19 16:00:00,1,1,"[16:00:00,16:20:00)",2016-10-19,16,82,3,99.0,9.72967967955095
2016-10-19 16:00:00,2,0,"[16:00:00,16:20:00)",2016-10-19,16,55,3,67.57142857142857,9.536895771286428
2016-10-19 16:00:00,3,0,"[16:00:00,16:20:00)",2016-10-19,16,109,3,120.85714285714286,15.89998502544967
2016-10-19 16:00:00,3,1,"[16:00:00,16:20:00)",2016-10-19,16,82,3,89.42857142857143,8.243323416704026
2016-10-19 16:20:00,1,0,"[16:20:00,16:40:00)",2016-10-19,16,40,3,50.0,10.376254944182254
2016-10-19 16:20:00,1,1,"[16:20:00,16:40:00)",2016-10-19,16,80,3,95.28571428571429,15.892495983055289
2016-10-19 16:20:00,2,0,"[16:20:00,16:40:00)",2016-10-19,16,61,3,71.71428571428571,12.147898113312795
2016-10-19 16:20:00,3,0,"[16:20:00,16:40:00)",2016-10-19,16,105,3,115.0,17.339742404853272
2016-10-19 16:20:00,3,1,"[16:20:00,16:40:00)",2016-10-19,16,89,3,85.71428571428571,7.54352450150206
2016-10-19 16:40:00,1,0,"[16:40:00,17:00:00)",2016-10-19,16,36,3,50.57142857142857,12.190941211368695
2016-10-19 16:40:00,1,1,"[16:40:00,17:00:00)",2016-10-19,16,85,3,102.28571428571429,14.795430439996057
2016-10-19 16:40:00,2,0,"[16:40:00,17:00:00)",2016-10-19,16,64,3,72.85714285714286,8.355209381548963
2016-10-19 16:40:00,3,0,"[16:40:00,17:00:00)",2016-10-19,16,95,3,125.42857142857143,24.636403571795558
2016-10-19 16:40:00,3,1,"[16:40:00,17:00:00)",2016-10-19,16,75,3,88.85714285714286,11.186726828829652
2016-10-20 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-20,6,8,4,11.285714285714286,3.9036002917941333
2016-10-20 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-20,6,46,4,36.0,8.205689083394114
2016-10-20 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-20,6,21,4,20.571428571428573,6.6296591882525115
2016-10-20 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-20,6,37,4,28.428571428571427,8.223080178318074
2016-10-20 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-20,6,16,4,18.857142857142858,4.980915960897534
2016-10-20 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-20,6,16,4,14.428571428571429,4.429339411136566
2016-10-20 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-20,6,27,4,40.57142857142857,11.296860077873305
2016-10-20 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-20,6,23,4,28.571428571428573,11.816050423853463
2016-10-20 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-20,6,44,4,44.42857142857143,9.58918041087876
2016-10-20 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-20,6,49,4,30.0,11.313708498984761
2016-10-20 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-20,6,23,4,19.428571428571427,5.50324579550235
2016-10-20 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-20,6,55,4,55.142857142857146,11.509830167130637
2016-10-20 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-20,6,42,4,42.0,8.563488385776752
2016-10-20 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-20,6,73,4,71.14285714285714,20.73988565886652
2016-10-20 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-20,6,37,4,41.42857142857143,11.414276774536104
2016-10-20 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-20,7,22,4,24.714285714285715,8.035634920242991
2016-10-20 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-20,7,71,4,63.0,11.532562594670797
2016-10-20 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-20,7,76,4,67.0,30.0
2016-10-20 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-20,7,114,4,105.71428571428571,32.29403601138702
2016-10-20 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-20,7,47,4,51.285714285714285,13.060299712159312
2016-10-20 07:20:00,1,0,"[07:20:00,07:40:00)",2016-10-20,7,33,4,32.142857142857146,6.148944934663492
2016-10-20 07:20:00,1,1,"[07:20:00,07:40:00)",2016-10-20,7,88,4,83.28571428571429,29.170271886027425
2016-10-20 07:20:00,2,0,"[07:20:00,07:40:00)",2016-10-20,7,89,4,77.57142857142857,26.67618877611732
2016-10-20 07:20:00,3,0,"[07:20:00,07:40:00)",2016-10-20,7,123,4,119.14285714285714,28.239620933649064
2016-10-20 07:20:00,3,1,"[07:20:00,07:40:00)",2016-10-20,7,60,4,67.0,19.924858845171276
2016-10-20 07:40:00,1,0,"[07:40:00,08:00:00)",2016-10-20,7,37,4,38.57142857142857,5.6820519432432395
2016-10-20 07:40:00,1,1,"[07:40:00,08:00:00)",2016-10-20,7,111,4,96.0,21.29162589689508
2016-10-20 07:40:00,2,0,"[07:40:00,08:00:00)",2016-10-20,7,112,4,88.28571428571429,29.471535904520287
2016-10-20 07:40:00,3,0,"[07:40:00,08:00:00)",2016-10-20,7,120,4,129.28571428571428,42.71500238290323
2016-10-20 07:40:00,3,1,"[07:40:00,08:00:00)",2016-10-20,7,104,4,85.28571428571429,20.00595149544493
2016-10-20 15:00:00,1,0,"[15:00:00,15:20:00)",2016-10-20,15,40,4,46.714285714285715,8.440266301373152
2016-10-20 15:00:00,1,1,"[15:00:00,15:20:00)",2016-10-20,15,97,4,92.57142857142857,14.081396034687552
2016-10-20 15:00:00,2,0,"[15:00:00,15:20:00)",2016-10-20,15,72,4,75.57142857142857,8.423323628614833
2016-10-20 15:00:00,3,0,"[15:00:00,15:20:00)",2016-10-20,15,92,4,115.85714285714286,16.014874038723832
2016-10-20 15:00:00,3,1,"[15:00:00,15:20:00)",2016-10-20,15,100,4,97.57142857142857,22.31484664864137
2016-10-20 15:20:00,1,0,"[15:20:00,15:40:00)",2016-10-20,15,41,4,45.857142857142854,10.040394604273471
2016-10-20 15:20:00,1,1,"[15:20:00,15:40:00)",2016-10-20,15,115,4,103.14285714285714,14.076322571710877
2016-10-20 15:20:00,2,0,"[15:20:00,15:40:00)",2016-10-20,15,79,4,76.42857142857143,4.466808810815722
2016-10-20 15:20:00,3,0,"[15:20:00,15:40:00)",2016-10-20,15,107,4,110.14285714285714,26.598424586358316
2016-10-20 15:20:00,3,1,"[15:20:00,15:40:00)",2016-10-20,15,105,4,100.71428571428571,11.426785574754984
2016-10-20 15:40:00,1,0,"[15:40:00,16:00:00)",2016-10-20,15,42,4,45.857142857142854,12.212405870378577
2016-10-20 15:40:00,1,1,"[15:40:00,16:00:00)",2016-10-20,15,120,4,109.85714285714286,13.606721028332181
2016-10-20 15:40:00,2,0,"[15:40:00,16:00:00)",2016-10-20,15,70,4,68.42857142857143,12.895181824453436
2016-10-20 15:40:00,3,0,"[15:40:00,16:00:00)",2016-10-20,15,108,4,116.85714285714286,21.19299075503165
2016-10-20 15:40:00,3,1,"[15:40:00,16:00:00)",2016-10-20,15,74,4,84.14285714285714,10.270160197201912
2016-10-20 16:00:00,1,0,"[16:00:00,16:20:00)",2016-10-20,16,46,4,51.0,7.852812659593163
2016-10-20 16:00:00,1,1,"[16:00:00,16:20:00)",2016-10-20,16,90,4,99.0,9.72967967955095
2016-10-20 16:00:00,2,0,"[16:00:00,16:20:00)",2016-10-20,16,66,4,67.57142857142857,9.536895771286428
2016-10-20 16:00:00,3,0,"[16:00:00,16:20:00)",2016-10-20,16,121,4,120.85714285714286,15.89998502544967
2016-10-20 16:00:00,3,1,"[16:00:00,16:20:00)",2016-10-20,16,92,4,89.42857142857143,8.243323416704026
2016-10-20 16:20:00,1,0,"[16:20:00,16:40:00)",2016-10-20,16,36,4,50.0,10.376254944182254
2016-10-20 16:20:00,1,1,"[16:20:00,16:40:00)",2016-10-20,16,73,4,95.28571428571429,15.892495983055289
2016-10-20 16:20:00,2,0,"[16:20:00,16:40:00)",2016-10-20,16,67,4,71.71428571428571,12.147898113312795
2016-10-20 16:20:00,3,0,"[16:20:00,16:40:00)",2016-10-20,16,106,4,115.0,17.339742404853272
2016-10-20 16:20:00,3,1,"[16:20:00,16:40:00)",2016-10-20,16,84,4,85.71428571428571,7.54352450150206
2016-10-20 16:40:00,1,0,"[16:40:00,17:00:00)",2016-10-20,16,37,4,50.57142857142857,12.190941211368695
2016-10-20 16:40:00,1,1,"[16:40:00,17:00:00)",2016-10-20,16,119,4,102.28571428571429,14.795430439996057
2016-10-20 16:40:00,2,0,"[16:40:00,17:00:00)",2016-10-20,16,75,4,72.85714285714286,8.355209381548963
2016-10-20 16:40:00,3,0,"[16:40:00,17:00:00)",2016-10-20,16,147,4,125.42857142857143,24.636403571795558
2016-10-20 16:40:00,3,1,"[16:40:00,17:00:00)",2016-10-20,16,88,4,88.85714285714286,11.186726828829652
2016-10-21 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-21,6,8,5,11.285714285714286,3.9036002917941333
2016-10-21 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-21,6,33,5,36.0,8.205689083394114
2016-10-21 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-21,6,16,5,20.571428571428573,6.6296591882525115
2016-10-21 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-21,6,22,5,28.428571428571427,8.223080178318074
2016-10-21 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-21,6,21,5,18.857142857142858,4.980915960897534
2016-10-21 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-21,6,13,5,14.428571428571429,4.429339411136566
2016-10-21 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-21,6,39,5,40.57142857142857,11.296860077873305
2016-10-21 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-21,6,24,5,28.571428571428573,11.816050423853463
2016-10-21 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-21,6,49,5,44.42857142857143,9.58918041087876
2016-10-21 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-21,6,28,5,30.0,11.313708498984761
2016-10-21 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-21,6,21,5,19.428571428571427,5.50324579550235
2016-10-21 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-21,6,54,5,55.142857142857146,11.509830167130637
2016-10-21 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-21,6,39,5,42.0,8.563488385776752
2016-10-21 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-21,6,66,5,71.14285714285714,20.73988565886652
2016-10-21 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-21,6,42,5,41.42857142857143,11.414276774536104
2016-10-21 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-21,7,32,5,24.714285714285715,8.035634920242991
2016-10-21 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-21,7,65,5,63.0,11.532562594670797
2016-10-21 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-21,7,66,5,67.0,30.0
2016-10-21 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-21,7,116,5,105.71428571428571,32.29403601138702
2016-10-21 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-21,7,54,5,51.285714285714285,13.060299712159312
2016-10-21 07:20:00,1,0,"[07:20:00,07:40:00)",2016-10-21,7,41,5,32.142857142857146,6.148944934663492
2016-10-21 07:20:00,1,1,"[07:20:00,07:40:00)",2016-10-21,7,102,5,83.28571428571429,29.170271886027425
2016-10-21 07:20:00,2,0,"[07:20:00,07:40:00)",2016-10-21,7,77,5,77.57142857142857,26.67618877611732
2016-10-21 07:20:00,3,0,"[07:20:00,07:40:00)",2016-10-21,7,135,5,119.14285714285714,28.239620933649064
2016-10-21 07:20:00,3,1,"[07:20:00,07:40:00)",2016-10-21,7,76,5,67.0,19.924858845171276
2016-10-21 07:40:00,1,0,"[07:40:00,08:00:00)",2016-10-21,7,38,5,38.57142857142857,5.6820519432432395
2016-10-21 07:40:00,1,1,"[07:40:00,08:00:00)",2016-10-21,7,87,5,96.0,21.29162589689508
2016-10-21 07:40:00,2,0,"[07:40:00,08:00:00)",2016-10-21,7,90,5,88.28571428571429,29.471535904520287
2016-10-21 07:40:00,3,0,"[07:40:00,08:00:00)",2016-10-21,7,155,5,129.28571428571428,42.71500238290323
2016-10-21 07:40:00,3,1,"[07:40:00,08:00:00)",2016-10-21,7,79,5,85.28571428571429,20.00595149544493
