time,tollgate_id,direction,time_window,volume,week
2016-10-18 06:00:00,1,0,"[06:00:00,06:20:00)",13,1
2016-10-18 06:00:00,1,1,"[06:00:00,06:20:00)",37,1
2016-10-18 06:00:00,2,0,"[06:00:00,06:20:00)",24,1
2016-10-18 06:00:00,3,0,"[06:00:00,06:20:00)",30,1
2016-10-18 06:00:00,3,1,"[06:00:00,06:20:00)",23,1
2016-10-18 06:20:00,1,0,"[06:20:00,06:40:00)",17,1
2016-10-18 06:20:00,1,1,"[06:20:00,06:40:00)",47,1
2016-10-18 06:20:00,2,0,"[06:20:00,06:40:00)",36,1
2016-10-18 06:20:00,3,0,"[06:20:00,06:40:00)",42,1
2016-10-18 06:20:00,3,1,"[06:20:00,06:40:00)",29,1
2016-10-18 06:40:00,1,0,"[06:40:00,07:00:00)",21,1
2016-10-18 06:40:00,1,1,"[06:40:00,07:00:00)",72,1
2016-10-18 06:40:00,2,0,"[06:40:00,07:00:00)",46,1
2016-10-18 06:40:00,3,0,"[06:40:00,07:00:00)",85,1
2016-10-18 06:40:00,3,1,"[06:40:00,07:00:00)",50,1
2016-10-18 07:00:00,1,0,"[07:00:00,07:20:00)",31,1
2016-10-18 07:00:00,1,1,"[07:00:00,07:20:00)",68,1
2016-10-18 07:00:00,2,0,"[07:00:00,07:20:00)",83,1
2016-10-18 07:00:00,3,0,"[07:00:00,07:20:00)",114,1
2016-10-18 07:00:00,3,1,"[07:00:00,07:20:00)",56,1
2016-10-18 07:20:00,1,0,"[07:20:00,07:40:00)",28,1
2016-10-18 07:20:00,1,1,"[07:20:00,07:40:00)",94,1
2016-10-18 07:20:00,2,0,"[07:20:00,07:40:00)",87,1
2016-10-18 07:20:00,3,0,"[07:20:00,07:40:00)",131,1
2016-10-18 07:20:00,3,1,"[07:20:00,07:40:00)",77,1
2016-10-18 07:40:00,1,0,"[07:40:00,08:00:00)",47,1
2016-10-18 07:40:00,1,1,"[07:40:00,08:00:00)",105,1
2016-10-18 07:40:00,2,0,"[07:40:00,08:00:00)",97,1
2016-10-18 07:40:00,3,0,"[07:40:00,08:00:00)",164,1
2016-10-18 07:40:00,3,1,"[07:40:00,08:00:00)",91,1
2016-10-18 15:00:00,1,0,"[15:00:00,15:20:00)",52,1
2016-10-18 15:00:00,1,1,"[15:00:00,15:20:00)",72,1
2016-10-18 15:00:00,2,0,"[15:00:00,15:20:00)",74,1
2016-10-18 15:00:00,3,0,"[15:00:00,15:20:00)",116,1
2016-10-18 15:00:00,3,1,"[15:00:00,15:20:00)",81,1
2016-10-18 15:20:00,1,0,"[15:20:00,15:40:00)",38,1
2016-10-18 15:20:00,1,1,"[15:20:00,15:40:00)",102,1
2016-10-18 15:20:00,2,0,"[15:20:00,15:40:00)",78,1
2016-10-18 15:20:00,3,0,"[15:20:00,15:40:00)",87,1
2016-10-18 15:20:00,3,1,"[15:20:00,15:40:00)",91,1
2016-10-18 15:40:00,1,0,"[15:40:00,16:00:00)",35,1
2016-10-18 15:40:00,1,1,"[15:40:00,16:00:00)",116,1
2016-10-18 15:40:00,2,0,"[15:40:00,16:00:00)",53,1
2016-10-18 15:40:00,3,0,"[15:40:00,16:00:00)",106,1
2016-10-18 15:40:00,3,1,"[15:40:00,16:00:00)",83,1
2016-10-18 16:00:00,1,0,"[16:00:00,16:20:00)",57,1
2016-10-18 16:00:00,1,1,"[16:00:00,16:20:00)",102,1
2016-10-18 16:00:00,2,0,"[16:00:00,16:20:00)",62,1
2016-10-18 16:00:00,3,0,"[16:00:00,16:20:00)",109,1
2016-10-18 16:00:00,3,1,"[16:00:00,16:20:00)",84,1
2016-10-18 16:20:00,1,0,"[16:20:00,16:40:00)",45,1
2016-10-18 16:20:00,1,1,"[16:20:00,16:40:00)",84,1
2016-10-18 16:20:00,2,0,"[16:20:00,16:40:00)",63,1
2016-10-18 16:20:00,3,0,"[16:20:00,16:40:00)",117,1
2016-10-18 16:20:00,3,1,"[16:20:00,16:40:00)",92,1
2016-10-18 16:40:00,1,0,"[16:40:00,17:00:00)",53,1
2016-10-18 16:40:00,1,1,"[16:40:00,17:00:00)",113,1
2016-10-18 16:40:00,2,0,"[16:40:00,17:00:00)",83,1
2016-10-18 16:40:00,3,0,"[16:40:00,17:00:00)",118,1
2016-10-18 16:40:00,3,1,"[16:40:00,17:00:00)",83,1
2016-10-19 06:00:00,1,0,"[06:00:00,06:20:00)",12,2
2016-10-19 06:00:00,1,1,"[06:00:00,06:20:00)",48,2
2016-10-19 06:00:00,2,0,"[06:00:00,06:20:00)",26,2
2016-10-19 06:00:00,3,0,"[06:00:00,06:20:00)",24,2
2016-10-19 06:00:00,3,1,"[06:00:00,06:20:00)",21,2
2016-10-19 06:20:00,1,0,"[06:20:00,06:40:00)",16,2
2016-10-19 06:20:00,1,1,"[06:20:00,06:40:00)",28,2
2016-10-19 06:20:00,2,0,"[06:20:00,06:40:00)",45,2
2016-10-19 06:20:00,3,0,"[06:20:00,06:40:00)",57,2
2016-10-19 06:20:00,3,1,"[06:20:00,06:40:00)",26,2
2016-10-19 06:40:00,1,0,"[06:40:00,07:00:00)",17,2
2016-10-19 06:40:00,1,1,"[06:40:00,07:00:00)",57,2
2016-10-19 06:40:00,2,0,"[06:40:00,07:00:00)",47,2
2016-10-19 06:40:00,3,0,"[06:40:00,07:00:00)",75,2
2016-10-19 06:40:00,3,1,"[06:40:00,07:00:00)",43,2
2016-10-19 07:00:00,1,0,"[07:00:00,07:20:00)",22,2
2016-10-19 07:00:00,1,1,"[07:00:00,07:20:00)",67,2
2016-10-19 07:00:00,2,0,"[07:00:00,07:20:00)",87,2
2016-10-19 07:00:00,3,0,"[07:00:00,07:20:00)",119,2
2016-10-19 07:00:00,3,1,"[07:00:00,07:20:00)",53,2
2016-10-19 07:20:00,1,0,"[07:20:00,07:40:00)",38,2
2016-10-19 07:20:00,1,1,"[07:20:00,07:40:00)",98,2
2016-10-19 07:20:00,2,0,"[07:20:00,07:40:00)",95,2
2016-10-19 07:20:00,3,0,"[07:20:00,07:40:00)",137,2
2016-10-19 07:20:00,3,1,"[07:20:00,07:40:00)",63,2
2016-10-19 07:40:00,1,0,"[07:40:00,08:00:00)",41,2
2016-10-19 07:40:00,1,1,"[07:40:00,08:00:00)",103,2
2016-10-19 07:40:00,2,0,"[07:40:00,08:00:00)",99,2
2016-10-19 07:40:00,3,0,"[07:40:00,08:00:00)",152,2
2016-10-19 07:40:00,3,1,"[07:40:00,08:00:00)",104,2
2016-10-19 15:00:00,1,0,"[15:00:00,15:20:00)",40,2
2016-10-19 15:00:00,1,1,"[15:00:00,15:20:00)",83,2
2016-10-19 15:00:00,2,0,"[15:00:00,15:20:00)",70,2
2016-10-19 15:00:00,3,0,"[15:00:00,15:20:00)",107,2
2016-10-19 15:00:00,3,1,"[15:00:00,15:20:00)",99,2
2016-10-19 15:20:00,1,0,"[15:20:00,15:40:00)",34,2
2016-10-19 15:20:00,1,1,"[15:20:00,15:40:00)",99,2
2016-10-19 15:20:00,2,0,"[15:20:00,15:40:00)",69,2
2016-10-19 15:20:00,3,0,"[15:20:00,15:40:00)",96,2
2016-10-19 15:20:00,3,1,"[15:20:00,15:40:00)",108,2
2016-10-19 15:40:00,1,0,"[15:40:00,16:00:00)",50,2
2016-10-19 15:40:00,1,1,"[15:40:00,16:00:00)",92,2
2016-10-19 15:40:00,2,0,"[15:40:00,16:00:00)",58,2
2016-10-19 15:40:00,3,0,"[15:40:00,16:00:00)",95,2
2016-10-19 15:40:00,3,1,"[15:40:00,16:00:00)",79,2
2016-10-19 16:00:00,1,0,"[16:00:00,16:20:00)",39,2
2016-10-19 16:00:00,1,1,"[16:00:00,16:20:00)",82,2
2016-10-19 16:00:00,2,0,"[16:00:00,16:20:00)",55,2
2016-10-19 16:00:00,3,0,"[16:00:00,16:20:00)",109,2
2016-10-19 16:00:00,3,1,"[16:00:00,16:20:00)",82,2
2016-10-19 16:20:00,1,0,"[16:20:00,16:40:00)",40,2
2016-10-19 16:20:00,1,1,"[16:20:00,16:40:00)",80,2
2016-10-19 16:20:00,2,0,"[16:20:00,16:40:00)",61,2
2016-10-19 16:20:00,3,0,"[16:20:00,16:40:00)",105,2
2016-10-19 16:20:00,3,1,"[16:20:00,16:40:00)",89,2
2016-10-19 16:40:00,1,0,"[16:40:00,17:00:00)",36,2
2016-10-19 16:40:00,1,1,"[16:40:00,17:00:00)",85,2
2016-10-19 16:40:00,2,0,"[16:40:00,17:00:00)",64,2
2016-10-19 16:40:00,3,0,"[16:40:00,17:00:00)",95,2
2016-10-19 16:40:00,3,1,"[16:40:00,17:00:00)",75,2
2016-10-20 06:00:00,1,0,"[06:00:00,06:20:00)",8,3
2016-10-20 06:00:00,1,1,"[06:00:00,06:20:00)",46,3
2016-10-20 06:00:00,2,0,"[06:00:00,06:20:00)",21,3
2016-10-20 06:00:00,3,0,"[06:00:00,06:20:00)",37,3
2016-10-20 06:00:00,3,1,"[06:00:00,06:20:00)",16,3
2016-10-20 06:20:00,1,0,"[06:20:00,06:40:00)",16,3
2016-10-20 06:20:00,1,1,"[06:20:00,06:40:00)",27,3
2016-10-20 06:20:00,2,0,"[06:20:00,06:40:00)",23,3
2016-10-20 06:20:00,3,0,"[06:20:00,06:40:00)",44,3
2016-10-20 06:20:00,3,1,"[06:20:00,06:40:00)",49,3
2016-10-20 06:40:00,1,0,"[06:40:00,07:00:00)",23,3
2016-10-20 06:40:00,1,1,"[06:40:00,07:00:00)",55,3
2016-10-20 06:40:00,2,0,"[06:40:00,07:00:00)",42,3
2016-10-20 06:40:00,3,0,"[06:40:00,07:00:00)",73,3
2016-10-20 06:40:00,3,1,"[06:40:00,07:00:00)",37,3
2016-10-20 07:00:00,1,0,"[07:00:00,07:20:00)",22,3
2016-10-20 07:00:00,1,1,"[07:00:00,07:20:00)",71,3
2016-10-20 07:00:00,2,0,"[07:00:00,07:20:00)",76,3
2016-10-20 07:00:00,3,0,"[07:00:00,07:20:00)",114,3
2016-10-20 07:00:00,3,1,"[07:00:00,07:20:00)",47,3
2016-10-20 07:20:00,1,0,"[07:20:00,07:40:00)",33,3
2016-10-20 07:20:00,1,1,"[07:20:00,07:40:00)",88,3
2016-10-20 07:20:00,2,0,"[07:20:00,07:40:00)",89,3
2016-10-20 07:20:00,3,0,"[07:20:00,07:40:00)",123,3
2016-10-20 07:20:00,3,1,"[07:20:00,07:40:00)",60,3
2016-10-20 07:40:00,1,0,"[07:40:00,08:00:00)",37,3
2016-10-20 07:40:00,1,1,"[07:40:00,08:00:00)",111,3
2016-10-20 07:40:00,2,0,"[07:40:00,08:00:00)",112,3
2016-10-20 07:40:00,3,0,"[07:40:00,08:00:00)",120,3
2016-10-20 07:40:00,3,1,"[07:40:00,08:00:00)",104,3
2016-10-20 15:00:00,1,0,"[15:00:00,15:20:00)",40,3
2016-10-20 15:00:00,1,1,"[15:00:00,15:20:00)",97,3
2016-10-20 15:00:00,2,0,"[15:00:00,15:20:00)",72,3
2016-10-20 15:00:00,3,0,"[15:00:00,15:20:00)",92,3
2016-10-20 15:00:00,3,1,"[15:00:00,15:20:00)",100,3
2016-10-20 15:20:00,1,0,"[15:20:00,15:40:00)",41,3
2016-10-20 15:20:00,1,1,"[15:20:00,15:40:00)",115,3
2016-10-20 15:20:00,2,0,"[15:20:00,15:40:00)",79,3
2016-10-20 15:20:00,3,0,"[15:20:00,15:40:00)",107,3
2016-10-20 15:20:00,3,1,"[15:20:00,15:40:00)",105,3
2016-10-20 15:40:00,1,0,"[15:40:00,16:00:00)",42,3
2016-10-20 15:40:00,1,1,"[15:40:00,16:00:00)",120,3
2016-10-20 15:40:00,2,0,"[15:40:00,16:00:00)",70,3
2016-10-20 15:40:00,3,0,"[15:40:00,16:00:00)",108,3
2016-10-20 15:40:00,3,1,"[15:40:00,16:00:00)",74,3
2016-10-20 16:00:00,1,0,"[16:00:00,16:20:00)",46,3
2016-10-20 16:00:00,1,1,"[16:00:00,16:20:00)",90,3
2016-10-20 16:00:00,2,0,"[16:00:00,16:20:00)",66,3
2016-10-20 16:00:00,3,0,"[16:00:00,16:20:00)",121,3
2016-10-20 16:00:00,3,1,"[16:00:00,16:20:00)",92,3
2016-10-20 16:20:00,1,0,"[16:20:00,16:40:00)",36,3
2016-10-20 16:20:00,1,1,"[16:20:00,16:40:00)",73,3
2016-10-20 16:20:00,2,0,"[16:20:00,16:40:00)",67,3
2016-10-20 16:20:00,3,0,"[16:20:00,16:40:00)",106,3
2016-10-20 16:20:00,3,1,"[16:20:00,16:40:00)",84,3
2016-10-20 16:40:00,1,0,"[16:40:00,17:00:00)",37,3
2016-10-20 16:40:00,1,1,"[16:40:00,17:00:00)",119,3
2016-10-20 16:40:00,2,0,"[16:40:00,17:00:00)",75,3
2016-10-20 16:40:00,3,0,"[16:40:00,17:00:00)",147,3
2016-10-20 16:40:00,3,1,"[16:40:00,17:00:00)",88,3
2016-10-21 06:00:00,1,0,"[06:00:00,06:20:00)",8,4
2016-10-21 06:00:00,1,1,"[06:00:00,06:20:00)",33,4
2016-10-21 06:00:00,2,0,"[06:00:00,06:20:00)",16,4
2016-10-21 06:00:00,3,0,"[06:00:00,06:20:00)",22,4
2016-10-21 06:00:00,3,1,"[06:00:00,06:20:00)",21,4
2016-10-21 06:20:00,1,0,"[06:20:00,06:40:00)",13,4
2016-10-21 06:20:00,1,1,"[06:20:00,06:40:00)",39,4
2016-10-21 06:20:00,2,0,"[06:20:00,06:40:00)",24,4
2016-10-21 06:20:00,3,0,"[06:20:00,06:40:00)",49,4
2016-10-21 06:20:00,3,1,"[06:20:00,06:40:00)",28,4
2016-10-21 06:40:00,1,0,"[06:40:00,07:00:00)",21,4
2016-10-21 06:40:00,1,1,"[06:40:00,07:00:00)",54,4
2016-10-21 06:40:00,2,0,"[06:40:00,07:00:00)",39,4
2016-10-21 06:40:00,3,0,"[06:40:00,07:00:00)",66,4
2016-10-21 06:40:00,3,1,"[06:40:00,07:00:00)",42,4
2016-10-21 07:00:00,1,0,"[07:00:00,07:20:00)",32,4
2016-10-21 07:00:00,1,1,"[07:00:00,07:20:00)",65,4
2016-10-21 07:00:00,2,0,"[07:00:00,07:20:00)",66,4
2016-10-21 07:00:00,3,0,"[07:00:00,07:20:00)",116,4
2016-10-21 07:00:00,3,1,"[07:00:00,07:20:00)",54,4
2016-10-21 07:20:00,1,0,"[07:20:00,07:40:00)",41,4
2016-10-21 07:20:00,1,1,"[07:20:00,07:40:00)",102,4
2016-10-21 07:20:00,2,0,"[07:20:00,07:40:00)",77,4
2016-10-21 07:20:00,3,0,"[07:20:00,07:40:00)",135,4
2016-10-21 07:20:00,3,1,"[07:20:00,07:40:00)",76,4
2016-10-21 07:40:00,1,0,"[07:40:00,08:00:00)",38,4
2016-10-21 07:40:00,1,1,"[07:40:00,08:00:00)",87,4
2016-10-21 07:40:00,2,0,"[07:40:00,08:00:00)",90,4
2016-10-21 07:40:00,3,0,"[07:40:00,08:00:00)",155,4
